time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,47,35,0,0
2026-08-15 00:00:00+00:00,50,44,8,2
2026-08-16 00:00:00+00:00,40,33,6,2
2026-08-17 00:00:00+00:00,46,38,0,0
2026-08-18 00:00:00+00:00,38,31,5,4
2026-08-19 00:00:00+00:00,57,53,5,2
2026-08-20 00:00:00+00:00,33,32,0,0
2026-08-21 00:00:00+00:00,41,38,0,0
2026-08-22 00:00:00+00:00,3,3,10,1
2026-08-23 00:00:00+00:00,7,7,0,0
2026-08-24 00:00:00+00:00,1,1,0,0
2026-08-25 00:00:00+00:00,4,3,3,1
2026-08-26 00:00:00+00:00,15,13,0,0
2026-08-27 00:00:00+00:00,38,32,4,2
