time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,20,10,0,0
2026-06-03 00:00:00+00:00,17,7,1,1
2026-06-04 00:00:00+00:00,17,7,2,1
2026-06-05 00:00:00+00:00,22,12,4,1
2026-06-06 00:00:00+00:00,17,7,0,0
2026-06-07 00:00:00+00:00,17,7,0,0
2026-06-08 00:00:00+00:00,20,10,5,1
2026-06-09 00:00:00+00:00,19,9,2,2
2026-06-10 00:00:00+00:00,24,13,0,0
2026-06-11 00:00:00+00:00,11,5,8,4
2026-06-12 00:00:00+00:00,24,9,0,0
2026-06-13 00:00:00+00:00,26,9,0,0
2026-06-14 00:00:00+00:00,33,13,0,0
2026-06-15 00:00:00+00:00,30,11,4,2
