time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,33,31,2,2
2026-08-29 00:00:00+00:00,11,11,0,0
2026-08-30 00:00:00+00:00,44,40,0,0
2026-08-31 00:00:00+00:00,4,3,1,1
2026-09-01 00:00:00+00:00,10,10,0,0
2026-09-02 00:00:00+00:00,18,18,0,0
2026-09-03 00:00:00+00:00,8,8,4,2
2026-09-04 00:00:00+00:00,24,20,1,1
2026-09-05 00:00:00+00:00,25,25,7,3
2026-09-06 00:00:00+00:00,44,30,3,2
2026-09-07 00:00:00+00:00,31,19,4,2
2026-09-08 00:00:00+00:00,23,23,1,1
2026-09-09 00:00:00+00:00,10,9,0,0
2026-09-10 00:00:00+00:00,20,19,5,4
